Antecedent,Consequent,Support,Confidence,Coverage,Strength,Lift,Leverage
"닭고기=1, 페이스트리=1, 감귤류=1","우유=1, 열대과일=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","소고기=1, 열대과일=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 페이스트리=1, 감귤류=1","소고기=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 페이스트리=1, 감귤류=1","열대과일=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","소고기=1, 열대과일=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 감귤류=1","소고기=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 감귤류=1","열대과일=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 감귤류=1","소고기=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 감귤류=1","열대과일=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","소고기=1, 열대과일=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 페이스트리=1","소고기=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 페이스트리=1","열대과일=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 페이스트리=1","소고기=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 페이스트리=1","열대과일=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 닭고기=1","소고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 닭고기=1","열대과일=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 열대과일=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","소고기=1, 열대과일=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 페이스트리=1, 감귤류=1","롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","뿌리채소=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","닭고기=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 감귤류=1","뿌리채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 감귤류=1","롤빵=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"닭고기=1, 감귤류=1","뿌리채소=1, 롤빵=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 롤빵=1, 닭고기=1","페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1","뿌리채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"뿌리채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 페이스트리=1","닭고기=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 페이스트리=1","뿌리채소=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 닭고기=1, 페이스트리=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1","뿌리채소=1, 롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1",0.001,1,0.001,3,376.333,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","우유=1, 뿌리채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 페이스트리=1, 감귤류=1","우유=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","우유=1, 뿌리채소=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"뿌리채소=1, 닭고기=1, 감귤류=1","우유=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 닭고기=1, 감귤류=1","뿌리채소=1, 롤빵=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","우유=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 롤빵=1, 감귤류=1","뿌리채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","우유=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 페이스트리=1","우유=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 롤빵=1, 페이스트리=1","우유=1, 닭고기=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 롤빵=1, 페이스트리=1","뿌리채소=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 뿌리채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"뿌리채소=1, 롤빵=1, 닭고기=1","우유=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 롤빵=1, 닭고기=1","뿌리채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 뿌리채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,0.333,0.003,0.333,376.333,0.001
"우유=1, 뿌리채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","우유=1, 뿌리채소=1, 롤빵=1",0.001,1,0.001,3,376.333,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","소고기=1, 뿌리채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 페이스트리=1, 감귤류=1","소고기=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","소고기=1, 뿌리채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 감귤류=1","뿌리채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 감귤류=1","소고기=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 감귤류=1","뿌리채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","소고기=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","소고기=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 페이스트리=1","소고기=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 페이스트리=1","뿌리채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 페이스트리=1","소고기=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 닭고기=1","뿌리채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 닭고기=1","소고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 뿌리채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","소고기=1, 뿌리채소=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","열대과일=1, 뿌리채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 페이스트리=1, 감귤류=1","열대과일=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","열대과일=1, 뿌리채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 감귤류=1","뿌리채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 감귤류=1","열대과일=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 감귤류=1","뿌리채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","열대과일=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","열대과일=1, 뿌리채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 페이스트리=1","열대과일=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 페이스트리=1","뿌리채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 페이스트리=1","열대과일=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 닭고기=1","뿌리채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 닭고기=1","열대과일=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 뿌리채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","열대과일=1, 뿌리채소=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","기타 채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 페이스트리=1, 감귤류=1","롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","닭고기=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 감귤류=1","기타 채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"롤빵=1, 닭고기=1, 감귤류=1","기타 채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 감귤류=1","롤빵=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"닭고기=1, 감귤류=1","기타 채소=1, 롤빵=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1, 닭고기=1","페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"롤빵=1, 닭고기=1","기타 채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 페이스트리=1","닭고기=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 페이스트리=1","기타 채소=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 닭고기=1, 페이스트리=1","롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1","기타 채소=1, 롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","우유=1, 기타 채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 페이스트리=1, 감귤류=1","우유=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"우유=1, 페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","우유=1, 기타 채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 감귤류=1","우유=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 닭고기=1, 감귤류=1","기타 채소=1, 롤빵=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","우유=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 롤빵=1, 감귤류=1","기타 채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,0.5,0.002,0.5,564.5,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","우유=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"기타 채소=1, 닭고기=1, 페이스트리=1","우유=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 닭고기=1, 페이스트리=1","기타 채소=1, 롤빵=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"기타 채소=1, 롤빵=1, 페이스트리=1","우유=1, 닭고기=1, 감귤류=1",0.001,1,0.001,2,564.5,0.001
"우유=1, 롤빵=1, 페이스트리=1","기타 채소=1, 닭고기=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 기타 채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 닭고기=1","우유=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 롤빵=1, 닭고기=1","기타 채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"우유=1, 기타 채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,0.5,0.002,0.5,564.5,0.001
"우유=1, 기타 채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","우유=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,2,564.5,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","소고기=1, 기타 채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 페이스트리=1, 감귤류=1","소고기=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","소고기=1, 기타 채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 감귤류=1","소고기=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 감귤류=1","기타 채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","소고기=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 감귤류=1","기타 채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","소고기=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 페이스트리=1","소고기=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 닭고기=1, 페이스트리=1","기타 채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 페이스트리=1","소고기=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 페이스트리=1","기타 채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 닭고기=1","소고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 롤빵=1, 닭고기=1","기타 채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"소고기=1, 기타 채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","소고기=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","열대과일=1, 기타 채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 페이스트리=1, 감귤류=1","열대과일=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","열대과일=1, 기타 채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 감귤류=1","기타 채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 감귤류=1","열대과일=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 감귤류=1","기타 채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","열대과일=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","열대과일=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 닭고기=1, 페이스트리=1","기타 채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 페이스트리=1","열대과일=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 페이스트리=1","기타 채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 페이스트리=1","열대과일=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 롤빵=1, 닭고기=1","기타 채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 닭고기=1","열대과일=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"열대과일=1, 기타 채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","열대과일=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 페이스트리=1, 감귤류=1","기타 채소=1, 롤빵=1, 닭고기=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 감귤류=1","뿌리채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 감귤류=1","기타 채소=1, 롤빵=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 감귤류=1","뿌리채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 감귤류=1","기타 채소=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 감귤류=1","롤빵=1, 닭고기=1, 페이스트리=1",0.001,1,0.001,1,1129,0.001
"롤빵=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 기타 채소=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 닭고기=1, 페이스트리=1","뿌리채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 닭고기=1, 페이스트리=1","기타 채소=1, 롤빵=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 페이스트리=1","뿌리채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 페이스트리=1","기타 채소=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 페이스트리=1","롤빵=1, 닭고기=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"기타 채소=1, 롤빵=1, 닭고기=1","뿌리채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 롤빵=1, 닭고기=1","기타 채소=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 롤빵=1","닭고기=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"뿌리채소=1, 기타 채소=1, 닭고기=1","롤빵=1, 페이스트리=1, 감귤류=1",0.001,1,0.001,1,1129,0.001
"닭고기=1, 페이스트리=1, 감귤류=1","뿌리채소=1, 기타 채소=1, 롤빵=1",0.001,1,0.001,1,1129,0.001
다진고기=1,우유=1,0.01,1,0.01,102.636,1,0
"소고기=1, 다진고기=1",우유=1,0.001,1,0.001,1129,1,0
다진고기=1,열대과일=1,0.002,0.182,0.01,1.182,15.79,0.002
"열대과일=1, 다진고기=1",우유=1,0.002,1,0.002,564.5,1,0
"우유=1, 다진고기=1",열대과일=1,0.002,0.182,0.01,1.182,15.79,0.002
다진고기=1,"우유=1, 열대과일=1",0.002,0.182,0.01,1.182,15.79,0.002
"열대과일=1, 다진고기=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"소고기=1, 다진고기=1",열대과일=1,0.001,1,0.001,13,86.846,0.001
"소고기=1, 열대과일=1",다진고기=1,0.001,0.5,0.002,5.5,51.318,0.001
"소고기=1, 열대과일=1, 다진고기=1",우유=1,0.001,1,0.001,1129,1,0
"우유=1, 열대과일=1, 다진고기=1",소고기=1,0.001,0.5,0.002,7,40.321,0.001
"열대과일=1, 다진고기=1","우유=1, 소고기=1",0.001,0.5,0.002,7,40.321,0.001
